Agency,DistrictType,StaffingClassification,CareerFirefighters,VolunteerFirefighters,TotalFirefighters,DistrictSize(sq_mi),DistrictPopulation,DistrictPopulationDensity,BuildingCount,BuildingDensity,County,DeputyStateFireMarshalDistrict,FireRiskReductionDistrict,X,Y,FireServiceCasualties
Adair RFPD,Rural,Combo,1,13,14,19,"1,964",103,"1,068",56,Benton,6,B,-123.225892,44.686049,0
Adrian RFPD,Null,Null,Null,Null,0,293.7,"1,316",5,"1,644",6,Malheur,21,G,-117.148445,43.628036,0
Albany FD,Combination,Career,75,0,75,83.6,"61,156",810,"31,680",379,Linn,6,B,-123.064917,44.617257,1
Amity Fire Dist.,Rural,Combo,4,37,41,69.1,"4,213",61,"3,444",50,Yamhill,5,B,-123.212732,45.043743,0
Ashland Fire & Rescue,Municipal,Career,30,0,30,6.6,"21,786","3,330","11,352","1,711",Jackson,14,F,-122.71452,42.196459,0
Astoria FD,Municipal,Combo,12,6,18,10.2,"10,385","1,021","4,794",470,Clatsop,1,A,-123.810558,46.187953,0
Aumsville RFPD,Rural,Combo,5,33,38,24.4,"7,347",303,"4,379",179,Marion,6,B,-122.868184,44.851263,0
Aurora RFPD,Rural,Combo,8,20,28,39.8,"6,468",163,"4,841",122,Marion,6,B,-122.775082,45.276105,0
Azalea RFPD,Null,Null,0,8,8,9.8,475,49,"1,051",108,Douglas,11,C,-123.262363,42.78678,0
Baker City FD,Null,Combo,10,7,17,7.2,"10,237","1,919","5,982",829,Baker,23,G,-117.832634,44.77463,0
Bandon RFPD,Rural,Combo,2,20,22,91.7,"4,320",47,"7,343",80,Coos,9,C,-124.377389,43.093638,0
Bay City FD,Municipal,Combo,2,20,22,2,"1,393",701,883,450,Tillamook,4,A,-123.888014,45.520836,0
Bend FD,Combination,Career,107,0,107,165.7,"106,471",790,"55,814",337,Deschutes,16,E,-121.309047,44.05672,1
Black Butte Ranch RFPD,Rural,Combo,8,9,17,3,188,64,"1,233",412,Deschutes,16,E,-121.655202,44.362183,0
Blodgett-Summit RFPD,Rural,Volunteer,0,8,8,31.9,429,13,516,16,Benton,6,B,-123.529919,44.608826,0
