DateTime,BasicIncidentType,BasicPropertyUse,CivilianCasualtySeverity,CauseOfInjury,HumanFactorsContributingToInjury,ActivityWhenInjured,AreaOfFireOrigin,CauseOfIgnition,DetectorPresence,FireJurisdictionBoundaries,CivilianCasualtyCount
1/2/19 6:09,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Not Reported,"Exterior balcony, unenclosed porch",Cause undetermined after investigation,U - Undetermined,Woodburn Fire District,1
1/5/19 13:05,"122 - Fire in motor home, camper, recreational vehicle",935 - Campsite with utilities,Severe,1 - Exposed to fire products,"Possibly impaired by alcohol,Possibly impaired by other drug or chemical",Not Reported,"Entranceway, lobby",Unintentional,N - None present,Umatilla County Fire District 1,1
1/5/19 13:05,"122 - Fire in motor home, camper, recreational vehicle",935 - Campsite with utilities,Severe,1 - Exposed to fire products,"Possibly impaired by other drug or chemical,Possibly impaired by alcohol","Activity, other","Entranceway, lobby",Unintentional,N - None present,Umatilla County Fire District 1,1
1/5/19 22:41,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Returning to vicinity of fire before control of fire,"Cooking area, kitchen",Failure of equipment or heat source,1 - Present,Portland Fire & Rescue,1
1/6/19 6:22,136 - Self-propelled motor home or recreational vehicle,965 - Vehicle parking area,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Operator/passenger area of transportation equipment,Unintentional,N - None present,Portland Fire & Rescue,1
1/7/19 20:12,111 - Building fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,None,Fire control,"Storage area, other",Unintentional,N - None present,Tualatin Valley Fire & Rescue,1
1/9/19 3:30,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,"Function areas, other",Unintentional,1 - Present,Portland Fire & Rescue,1
1/9/19 3:30,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Rescue attempt,"Function areas, other",Unintentional,1 - Present,Portland Fire & Rescue,1
1/9/19 3:30,111 - Building fire,429 - Multifamily dwelling,Severe,9 - Multiple causes,Possibly mentally disabled,Escaping,"Function areas, other",Unintentional,1 - Present,Portland Fire & Rescue,1
1/9/19 3:30,111 - Building fire,429 - Multifamily dwelling,Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,"Function areas, other",Unintentional,1 - Present,Portland Fire & Rescue,1
